Shapefile; Symbologie; Farbe; Linienbreite; Pattern; Symbolname
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 5;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 6;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 7;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 8;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 9;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 10;0,0,0;2;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 11;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 12;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 13;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 14;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 15;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 16;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 17;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 18;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 19;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 20;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 21;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 22;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 23;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 24;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 25;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 26;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 27;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 28;0,15,102;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 29;0,102,0;1;8_8;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 0;0,105,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 1;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 2;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 3;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 4;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 5;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 6;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 7;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 8;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 9;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 10;0,0,0;2;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 11;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 12;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 13;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 14;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 15;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 16;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 17;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 18;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 19;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 20;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 21;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 22;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 23;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 24;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 25;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 26;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 27;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 28;0,15,102;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Anlage 29;0,102,0;1;8_8;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 0;0,105,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 1;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 2;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 3;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 4;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 5;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 6;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 7;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 8;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 9;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 10;0,0,0;2;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 11;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 12;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 13;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 14;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 15;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 16;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 17;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 18;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 19;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 20;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 21;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 22;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 23;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 24;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 25;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 26;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 27;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 28;0,0,0;1;35_5;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Leitung 29;0,0,0;1;35_5;-
